Traction,Swing
3.546124488355221E7,7.092248976710442E7
6.808503944242021E7,6704877.168830239
5.474151386069047E7,2.278620948825839E7
4.046852772348431E7,1.0163334433551332E7
3.1587981479909528E7,1.3716783927613664E7
2.4660204500100266E7,9084915.69291252
2.055718577340912E7,9193289.536530327
1.751137077205857E7,8455905.872808492
1.4686750862540385E7,9048698.907516725
1.226765192238803E7,9262273.79790572
1.0468089366554474E7,8672409.631513337
9117292.162507594,8259027.067302676
8052068.688422336,8657612.757303279
7237064.9562609615,8526479.6191464
6489118.966310018,8780269.732241578
5983887.843685086,9234625.70776828
5433233.839765576,9797983.587372858
4938048.506853996,1.005802317868945E7
4733247.158919538,7925806.335444425
4159643.905587113,7246342.409392181
4030961.048854937,9875377.232307613
4244910.519478953,8409810.073467104
3566728.162574133,5328631.147350159
3334315.7173039964,6157342.271976471
3294523.956885369,8398197.067229096
3461833.668745296,6605242.866809871
2912628.551413265,4642002.159899049
2786977.276268202,5564205.498676275
2781866.048490153,6622004.802437841
2808138.7341895695,5374247.673982925
2472946.1627979144,4095747.2722542975
2369266.0253021675,4639742.682813458
2348661.364634645,5556491.909221808
2434753.533058912,4442351.661397363
2125969.295139665,3538559.474166991
2068433.6421924578,4116979.5576513787
2076161.187779122,4747259.743248065
2131490.458091887,3846545.7980442215
1865302.0161312507,3152292.349056583
1801619.0191982223,3470316.051533136
1831345.6125581942,4000911.720574765
1887896.3550353842,3419956.5156053123
1736010.4556950901,3402842.7870658077
1789704.3885379017,4052311.661864543
1818388.830879542,3536946.9604889783
1658335.0552629945,2761663.1156192105
1570878.5158569342,3162577.2081005936
1629560.8155729421,2860121.2178207943
1481773.167525398,2772345.7014600565
1516707.6423310468,3188358.379859788
1603764.8533129813,2947664.059266431
1478858.4656797736,2973897.820024914
1515707.8201367562,2685869.320421267
1385475.3937042174,2673452.2340328735
1414082.053349586,3033315.2790201977
1427024.0698612377,2666589.653967243
1297086.7949928427,2558367.9638501448
1341437.7544861587,3081377.5116510056
1414579.5764735509,2772587.7692887858
1263126.9529178748,2152448.024861579
1241404.1188679228,2399846.941748924
1289613.077724101,2863867.7345283786
1325849.058746107,2412164.190427902
1199585.3785128293,2363905.556096274
1262664.1488230235,2831568.5805327957
1303384.9225308562,2537701.4455081047
1176559.6415511526,1949005.2846885417
1142957.2266227345,2177166.687486928
1197384.065144649,2614227.0025551333
1201116.386982639,2177462.0742405145
1114197.451650322,2138486.6003301595
1137901.0422429948,2584656.8797242977
